Date	Open	High	Low	Close*	Adj Close**	Volume
Nov 12, 2021	81.21	81.62	79.78	80.79	80.79	475,436
Nov 11, 2021	81.41	82.33	80.2	81.59	81.59	475,436
Nov 10, 2021	84.53	84.97	80.81	81.34	81.34	555,215
Nov 09, 2021	82.16	84.63	81.78	84.15	84.15	504,832
Nov 08, 2021	81.13	82.67	81.05	81.93	81.93	393,953
Nov 04, 2021	79.37	81.8	78.96	81.27	81.27	531,054
Nov 03, 2021	80.18	83.42	78.25	78.81	78.81	701,119
Nov 02, 2021	83.07	83.08	79.69	80.86	80.86	546,577
Nov 01, 2021	83.87	84.41	82.92	83.91	83.91	429,608
Oct 31, 2021	83.36	84.88	82.74	84.05	84.05	412,309
Oct 28, 2021	83.09	83.74	81.41	83.57	83.57	507,309
Oct 27, 2021	82.25	83.21	80.58	82.81	82.81	491,585
Oct 26, 2021	84.39	84.51	82.01	82.66	82.66	529,952
Oct 25, 2021	83.72	84.88	82.97	84.65	84.65	467,716
Oct 24, 2021	83.98	85.41	83.39	83.76	83.76	568,725
Oct 21, 2021	82.61	84.22	81.76	83.76	83.76	465,355
Oct 20, 2021	83.58	83.96	80.79	82.5	82.5	567,503
Oct 19, 2021	83.34	84.25	81.3	83.87	83.87	530,693
Oct 18, 2021	82.37	83.74	81.8	82.96	82.96	82,607
Oct 17, 2021	82.6	83.87	81.84	82.44	82.44	134,098
Oct 14, 2021	81.48	82.66	81.39	82.28	82.28	277,953
Oct 13, 2021	80.59	81.68	80.38	81.31	81.31	399,813
Oct 12, 2021	80.58	81.04	79.42	80.44	80.44	487,220
Oct 11, 2021	80.5	81.62	79.47	80.64	80.64	598,181
Oct 10, 2021	79.59	82.18	79.55	80.52	80.52	653,756
Oct 07, 2021	78.86	80.11	78.63	79.35	79.35	662,010
Oct 06, 2021	77	78.89	74.96	78.3	78.3	545,008
Oct 05, 2021	79.04	79.78	76.83	77.43	77.43	459,055
Oct 04, 2021	77.58	79.48	77.47	78.93	78.93	449,617
Oct 03, 2021	75.9	78.38	75.32	77.62	77.62	458,006
Sep 30, 2021	75.12	75.99	74.23	75.88	75.88	388,996
Sep 29, 2021	74.78	76.07	73.14	75.03	75.03	583,189
Sep 28, 2021	74.38	75.79	73.74	74.83	74.83	424,193
Sep 27, 2021	75.43	76.67	74.24	75.29	75.29	476,143
Sep 26, 2021	74.19	75.75	74.16	75.45	75.45	417,829
Sep 23, 2021	73.24	74.27	72.81	73.98	73.98	350,382
Sep 22, 2021	71.97	73.5	71.61	73.3	73.3	403,405
Sep 21, 2021	70.85	72.3	70.64	72.23	72.23	381,061
Sep 20, 2021	70.59	71.63	69.67	70.56	70.56	393,403
Sep 19, 2021	71.92	72.08	69.86	70.29	70.29	75,837
Sep 16, 2021	72.62	72.72	71.21	71.97	71.97	119,933
Sep 15, 2021	72.65	72.99	71.53	72.61	72.61	298,412
Sep 14, 2021	70.76	73.14	70.65	72.61	72.61	418,665
Sep 13, 2021	70.64	71.22	69.98	70.46	70.46	414,231
Sep 12, 2021	69.74	70.97	69.51	70.45	70.45	390,939
Sep 09, 2021	67.97	69.96	67.68	69.72	69.72	411,079
Sep 08, 2021	69.36	69.89	67.56	68.14	68.14	556,451
Sep 07, 2021	68.37	69.75	68.31	69.3	69.3	389,325
Sep 06, 2021	69.11	69.48	67.64	68.35	68.35	481,704
Sep 02, 2021	69.76	70.53	69.05	69.29	69.29	313,086
Sep 01, 2021	68.29	70.61	67.84	69.99	69.99	403,314
Aug 31, 2021	68.55	69.24	67.12	68.59	68.59	399,497
Aug 30, 2021	69.18	69.34	68.16	68.5	68.5	325,853
Aug 29, 2021	69.3	69.64	67.67	69.21	69.21	360,797
Aug 26, 2021	67.75	69.05	67.52	68.74	68.74	326,056
Aug 25, 2021	68	68.31	67.02	67.42	67.42	344,286
Aug 24, 2021	67.63	68.54	66.92	68.36	68.36	353,742
Aug 23, 2021	65.54	67.8	65.41	67.54	67.54	335,888
Aug 22, 2021	61.96	66	61.74	65.64	65.64	397,290
Aug 19, 2021	64.05	64.1	62.11	62.32	62.32	365,009
Aug 18, 2021	64.58	64.76	62.63	63.69	63.69	88,237
Aug 17, 2021	66.58	67.48	64.34	65.46	65.46	121,197
Aug 16, 2021	67.43	67.72	66.33	66.59	66.59	235,303
Aug 15, 2021	68.13	68.14	65.73	67.29	67.29	334,844
Aug 12, 2021	68.91	69.22	67.77	68.44	68.44	272,033
Aug 11, 2021	69.36	69.62	68.46	69.09	69.09	352,465
Aug 10, 2021	68.51	69.45	66.67	69.25	69.25	513,292
Aug 09, 2021	66.85	68.9	66.56	68.29	68.29	452,126
Aug 08, 2021	67.88	67.9	65.15	66.48	66.48	598,381
Aug 05, 2021	69.14	70.18	67.8	68.28	68.28	537,136
Aug 04, 2021	68.06	69.35	67.61	69.09	69.09	416,331
Aug 03, 2021	70.32	70.81	67.85	68.15	68.15	582,924
Aug 02, 2021	71.52	71.96	69.19	70.56	70.56	509,938
Aug 01, 2021	73.91	73.95	70.55	71.26	71.26	448,200
